Country,Both,Male,Female,national_dish,national_dish_wiki_link,image_link,aspect_ratio,order_2_cols,order_3_cols,order_4_cols
Zimbabwe,23.4,21.8,24.5,sadza,https://en.wikipedia.org/wiki/Sadza,zimbabwe.avif,1.5158,150,102,75
Congo,23.3,22.5,24.1,,,,,,,
Djibouti,23.3,22.7,23.9,skoudehkaris,https://en.wikipedia.org/wiki/Skudahkharis,djibouti.avif,1.3388,68,157,117
Philippines,23.2,22.9,23.4,adobo,https://en.wikipedia.org/wiki/Adobo_(Filipino_cuisine),philippines.avif,1.5000,151,46,159
Togo,23.2,22.4,24.0,fufu,https://en.wikipedia.org/wiki/Fufu,togo.avif,1.5000,69,103,35
Guinea-Bissau,23.1,22.2,23.9,,,,,,,
Tanzania,23.1,22.2,24.0,chipsi mayai,https://en.wikipedia.org/wiki/Chipsi_mayai,tanzania.avif,1.0017,152,158,76
Kenya,23.0,21.9,24.0,ugali,https://en.wikipedia.org/wiki/Ugali,kenya.avif,1.5158,70,47,118
Senegal,23.0,21.8,24.1,thieboudienne,https://en.wikipedia.org/wiki/Thieboudienne,senegal.avif,0.6666,153,104,160
Sri Lanka,23.0,22.5,23.5,rice and curry,https://en.wikipedia.org/wiki/Rice_and_curry,sri_lanka.avif,1.3545,71,159,36
Indonesia,22.9,22.4,23.4,nasi goreng,https://en.wikipedia.org/wiki/Nasi_goreng,indonesia.avif,1.3333,154,48,77
Malawi,22.8,22.3,23.3,,,,,,,
Mali,22.8,22.6,23.0,tiguadege na,https://en.wikipedia.org/wiki/Domoda,mali.avif,0.8000,72,105,119
Sierra Leone,22.8,22.0,23.6,,,,,,,
Guinea,22.7,22.1,23.3,poulet yassa,https://en.wikipedia.org/wiki/Yassa_(food),guinea.avif,1.0265,155,160,161
Japan,22.6,23.6,21.7,sushi,https://en.wikipedia.org/wiki/Sushi,japan.avif,1.0000,73,49,37
Laos,22.6,22.4,22.7,larb/laap,https://en.wikipedia.org/wiki/Larb,laos.avif,1.5040,156,106,78
Myanmar,22.6,22.1,23.2,mohinga,https://en.wikipedia.org/wiki/Mohinga,myanmar.avif,1.4993,74,161,120
Zambia,22.6,21.5,23.8,nshima,https://en.wikipedia.org/wiki/Nshima,zambia.avif,1.5158,157,50,162
Central African Republic,22.4,21.6,23.2,cassava,https://en.wikipedia.org/wiki/Cassava,central_african_republic.avif,0.7744,75,107,38
Chad,22.3,22.1,22.5,boule,https://en.wikipedia.org/wiki/Chadian_cuisine#International_representation,chad.avif,1.3333,158,162,79
Mozambique,22.3,21.6,23.0,,,,,,,
DR Congo,22.2,21.8,22.5,,,,,,,
Nepal,22.2,22.4,22.0,Gundruk,https://en.wikipedia.org/wiki/Gundruk,nepal.avif,1.7802,76,51,121
Burkina Faso,22.1,22.1,22.0,riz gras,https://en.wikipedia.org/wiki/Riz_gras,burkina_faso.avif,1.3333,159,108,163
Rwanda,22.0,21.3,22.7,ibihaza,https://en.wikipedia.org/w/index.php?title=Ibihaza&action=edit&redlink=1,rwanda.avif,1.0081,77,163,39
Uganda,22.0,21.0,23.0,matooke,https://en.wikipedia.org/wiki/East_African_Highland_bananas,uganda.avif,1.7778,160,52,80
